id,label_id,label,sentence
2084,5,Request,ጓደኞች ቦታ ማግኘት ይችላል?
10188,1,Complaint,ወንድሞች ቤት ስለ ፈጣን መሆኑ ያማርራል።
5297,4,Refusal,አስተናጋጁ ደብዳቤ አይፈልግም።
3709,0,Assertion,እነሱ ክፍያ ቀላል ይሻላል።
5624,2,Phatic,መልካም ጊዜ ይሁንልህ አባቴ።
5700,3,Promise,አትጨነቅ፣ ሙያ እከፍላለሁ።
2722,6,Sarcasm/Irony,እርግጥ ነው፣ ድል በጣም ርካሽ ነው... (በአስቂኝ)።
5333,5,Request,አለቃዬ ቦታ ማግኘት ይችላል?
2552,7,Suggestion,ይህን ስራ መሞከር ጥሩ ነው።
7966,3,Promise,ተማሪው በፍጥነት ትመጣለች ብሎ ቃል ገብቷል።
5955,0,Assertion,ባለሙያው ሰላም መጥፎ አለ።
6810,2,Phatic,በጣም ደስ ብሎኛል ልጆች።
5009,1,Complaint,ሁልጊዜ ሀሳብ ይጎድላል።
6466,2,Phatic,ሰላም ፖሊሱ፣ ምን ሰራህ ከ መቀሌ?
249,1,Complaint,ለምን እሱ ንግግር አልሰጠኝም?
7581,2,Phatic,ሰላም ብዙ ሰዎች ከ ሆስፒታል።
4379,8,Warning,አደጋ አለ! ድልድይ ተጠንቀቅ።
11472,8,Warning,ልጆች ስልጠና አትንካ።
7881,8,Warning,አደጋ አለ! እድል ተጠንቀቅ።
11368,7,Suggestion,እንዴት ቢሆን ምግብ ቤት ብናደርግ?
262,6,Sarcasm/Irony,ወዳጄ በጣም ታማኝ ነው፣ አይዋሽም... (በተቃራኒ)።
3247,4,Refusal,ይቅርታ፣ ፕሮጀክት አልሰጥም።
3739,3,Promise,በእርግጥ ወረቀት አደርጋለሁ።
2863,7,Suggestion,እኔ ፈቃድ እንድታደርግ እመክራለሁ።
7719,5,Request,ወንድሞች ደብዳቤ ማግኘት ይችላል?
6727,8,Warning,ተጠንቀቅ! ዕረፍት መጥፎ ነው።
8115,6,Sarcasm/Irony,አዎ፣ ነገ ሁሉም ዝግጁ ነው... (በተቃራኒ)።
6435,8,Warning,ይህ ኮምፒውተር አደገኛ ነው።
9362,2,Phatic,እንዴት አለፍሽ በማለዳ ነጋዴዎች?
10662,5,Request,ዳኛው ጉዞ ማግኘት ይችላል?
1615,6,Sarcasm/Irony,አዎ፣ ትምህርት ቤት በጣም ደህንነቱ የተጠበቀ ነው... (በተቃራኒ)።
10083,7,Suggestion,እህቶች ዜና ቢያደርግ ይሻላል።
3155,1,Complaint,በወር ደንበኞች ጉብኝት አላገኘም።
8361,3,Promise,ቃል እገባለሁ ሙያ እንደሚሆን።
3385,0,Assertion,እውነቱን ለመናገር ቁልፍ አሮጌ ነው።
2570,4,Refusal,ሴቶች ፊልም አይፈልግም።
11214,7,Suggestion,ምናልባት ቀላል ውሳኔ መግዛት?
2181,3,Promise,ሐኪሙ ዛሬ ይመጣል ብሎ ቃል ገብቷል።
3423,6,Sarcasm/Irony,ሁሉም ሰው መኪና ይወዳል... (በአስቂኝ)።
1813,1,Complaint,ይህ መጽሐፍ በጣም አሮጌ ነው፣ አልወድም።
5012,1,Complaint,ልጆች ስለ ድል ቅሬታ አለው።
10794,3,Promise,ይህን ሙያ እጠብቃለሁ።
10891,6,Sarcasm/Irony,ሐኪሙ ሁልጊዜ ትክክል ነው... (በሳቅ)።
10334,7,Suggestion,ይህን ጤና መሞከር ጥሩ ነው።
4501,5,Request,ከፈቀድክ ድልድይ ውሰድ።
2958,3,Promise,በማታ አባቴ ጉዞ ታመጣለች።
10266,7,Suggestion,ጓደኞች ምክር ቢያደርግ ይሻላል።
9983,6,Sarcasm/Irony,ድልድይ በጣም ውድ ነው፣ ግን ዋጋው አለው... (በቀልድ)።
2011,5,Request,እሷ ስልክ ማግኘት ይችላል?
71,6,Sarcasm/Irony,እርግጥ፣ ድል በጣም ውድ ነው... (በአስቂኝ)።
805,1,Complaint,ከዚህ በፊት መምህራን ጊዜ አላገኘም።
1811,4,Refusal,እናንተ ፕሮጀክት አይፈልግም።
1605,1,Complaint,ለምን ወረቀት እንዲህ ጥሩ ነው?
11445,5,Request,ሴቶች ጊዜ ማግኘት ይችላል?
6283,0,Assertion,ድልድይ በጣም አስቸጋሪ ነው።
9902,2,Phatic,እግዚአብሔር ከአንተ ጋር ይሁን ባለሙያው።
1787,7,Suggestion,ምናልባት ርካሽ መንገድ መግዛት?
9734,3,Promise,በእርግጥ ኮምፒውተር አደርጋለሁ።
11092,2,Phatic,ሰላም አንቺ፣ ምን አለ በወር?
619,6,Sarcasm/Irony,ሁሉም ሁልጊዜ ይረዳል... (በቀልድ)።
5520,3,Promise,እኔ ንግግር አላረሳም።
7258,0,Assertion,መድሃኒት አስደሳች ነው።
4736,2,Phatic,እንኳን ደህና ኑር እናቶች።
1042,7,Suggestion,እንዴት ቢሆን ጨዋታ ብናደርግ?
9231,5,Request,ነጋዴዎች ፊልም ማግኘት ይችላል?
1289,3,Promise,ወዳጄ ነገ ትመጣለች ብሎ ቃል ገብቷል።
5683,4,Refusal,አይ፣ ክፍያ አልችልም።
8823,8,Warning,ሹፌሩ ዜና አትንካ።
2732,8,Warning,ተጠንቀቅ፣ ተማሪው ይመጣል።
9149,1,Complaint,አዛውንቱ ከ ወረቀት ጋር ችግር አለው።
5635,2,Phatic,እንኳን ደህና መጣህ በፍጥነት።
6202,7,Suggestion,ወጣቱ አገልግሎት ቢያደርግ ይሻላል።
1558,3,Promise,አዛውንቱ ነገ ይመጣል ብሎ ቃል ገብቷል።
1709,5,Request,ጎረቤቴ ቅጣት ማግኘት ይችላል?
5432,8,Warning,ተጠንቀቅ! ወረቀት ንጹህ ነው።
3361,2,Phatic,እንዴት ነው ቤተሰብህ ወጣቶች?
3129,8,Warning,ወጣቱ ኮንትራት አትንካ።
4391,2,Phatic,በጣም ደስ ብሎኛል ስለተገናኘን በማለዳ።
7983,5,Request,ተማሪዎች ኮምፒውተር ማግኘት ይችላል?
622,0,Assertion,እውነቱን ለመናገር ቦታ ደስ የሚል ነው።
6856,5,Request,ፖሊሱ ቦታ ማግኘት ይችላል?
9564,3,Promise,በማታ አንዳንድ ሰዎች እረፍት ታመጣለች።
4499,3,Promise,ትናንት ደንበኞች ደስታ ታመጣለች።
10063,7,Suggestion,እንግዶች ድል ቢያደርግ ይሻላል።
10087,7,Suggestion,ምናልባት ንጹህ ክፍያ መግዛት?
2683,4,Refusal,አይ፣ ሰላም አልችልም።
9027,3,Promise,አዛውንቱ በጊዜው ይመጣል ብሎ ቃል ገብቷል።
10145,3,Promise,አትጨነቅ፣ ሀሳብ እከፍላለሁ።
6365,0,Assertion,ሐኪሙ መኪና ያሳዝናል አለ።
3837,3,Promise,እኔ ነገ ትመጣለች ብሎ ቃል ገብቷል።
4301,8,Warning,ጎረቤቴ ኮንትራት አትንካ።
6819,2,Phatic,ሰላም እኔ፣ እንዴት ነው ሁኔታው?
775,4,Refusal,ወንዶች ንግግር አይፈልግም።
7440,8,Warning,ገበሬዎች ሽልማት አትንካ።
10875,2,Phatic,ሰላም ዳኛው ከ ሆስፒታል።
1239,6,Sarcasm/Irony,አዎ፣ እህቴ በጣም ብልህ ነው... (በተቃራኒ)።
8008,6,Sarcasm/Irony,ወጣቱ ሁልጊዜ በጊዜው ይመጣል... (በቀልድ)።
9120,3,Promise,ማንም በሰዓት ይመጣል ብሎ ቃል ገብቷል።
9807,1,Complaint,ለምን ብዙ ሰዎች ምግብ አልሰጠኝም?
606,8,Warning,ወንድሜ ጉብኝት አትንካ።
6597,3,Promise,እኔ ስብሰባ አላረሳም።
2596,6,Sarcasm/Irony,እርግጥ፣ ትምህርት ቤት በጣም ቅርብ ነው... (በሳቅ)።
10581,8,Warning,እህቶች ስብሰባ አትንካ።
10251,2,Phatic,እንኳን ለልደትህ አደረሰ እሱ።
6827,0,Assertion,እናቶች ሙያ አለው።
6125,8,Warning,ይህን ሰላም አታድርግ።
3006,1,Complaint,ልጄ መኪና ስለ ጥሩ መሆኑ ያማርራል።
123,2,Phatic,በደህና ሂጂ ሴቶች።
9763,8,Warning,ተጠንቀቅ! ችግር ትልቅ ነው።
10657,4,Refusal,ይቅርታ፣ ቦታ አልሰጥም።
5757,7,Suggestion,ምናልባት ደህንነቱ የተጠበቀ አገልግሎት መግዛት?
6401,5,Request,እባክህ በሰዓት ና።
8407,6,Sarcasm/Irony,አንተ ሁልጊዜ ትክክለኛ ውሳኔ ያደርጋል... (በቀልድ)።
512,7,Suggestion,ይህን መድሃኒት መሞከር ጥሩ ነው።
4512,4,Refusal,ይህን ምክር ማድረግ አልችልም።
9355,3,Promise,እኔ ቤት እሰጥሃለሁ።
5939,6,Sarcasm/Irony,በጣም ደህንነቱ የተጠበቀ ነው፣ ማንም አይቃወምም... (በቀልድ)።
1987,0,Assertion,ትናንት ዳኛው መስሪያ ቤት ነበር።
4299,5,Request,ተማሪው መኪና ማግኘት ይችላል?
1332,8,Warning,ተጠንቀቅ! መንገድ ትንሽ ነው።
10274,8,Warning,እናቴ ሀሳብ አትንካ።
5314,0,Assertion,እውነቱን ለመናገር ሰላም አስቸጋሪ ነው።
100,5,Request,ደንበኞች ቦታ ማግኘት ይችላል?
9256,3,Promise,ልጄ በሳምንት ይመጣል ብሎ ቃል ገብቷል።
3904,4,Refusal,አይ፣ ጨዋታ አልችልም።
757,5,Request,እኛ ሙያ ማግኘት ይችላል?
8363,2,Phatic,ደህና ቀን ይሁንልሽ አባቶች።
6592,7,Suggestion,እኛ ፈቃድ ቢያደርግ ይሻላል።
5402,7,Suggestion,ይህን ሽልማት መሞከር ጥሩ ነው።
7493,2,Phatic,እንኳን ለበዓል አደረሰሽ በፍጥነት።
7792,6,Sarcasm/Irony,አዎ፣ ይህ ሙዚቃ በጣም ጠቃሚ ነው... (በሳቅ)።
2951,3,Promise,ልጄ በፍጥነት ይመጣል ብሎ ቃል ገብቷል።
10187,8,Warning,አባቴ ስራ አትንካ።
940,7,Suggestion,ወዳጄ ደብዳቤ ቢጠቀም ይሻላል።
5743,5,Request,አንተ ስራ ማግኘት ይችላል?
2380,3,Promise,እኔ ቁልፍ እሰጥሃለሁ።
9964,3,Promise,ጎረቤቴ በሳምንት ይመጣል ብሎ ቃል ገብቷል።
6908,3,Promise,በሰዓት እንግዶች ስልክ ያመጣል።
5302,7,Suggestion,ወንዶች ውሳኔ ቢያደርግ ይሻላል።
10395,0,Assertion,ሹፌሩ መፍትሄ አለው።
2829,0,Assertion,መምህራን ሽልማት አለው።
5220,7,Suggestion,ምናልባት አስቸጋሪ ኮንትራት መግዛት?
1331,3,Promise,አንዳንድ ሰዎች በማለዳ ይመጣል ብሎ ቃል ገብቷል።
1295,6,Sarcasm/Irony,እንዴት እቅድ በጣም ቀላል ነው! (በተቃራኒ)።
5693,0,Assertion,ይህ ጨዋታ ቀላል መሆኑን እረጋገጣለሁ።
8377,1,Complaint,አንተ ከ ትምህርት ጋር ችግር አለው።
9501,8,Warning,ወንዶች እድል አትንካ።
2576,4,Refusal,እነሱ ስልጠና አይፈልግም።
5698,2,Phatic,መልካም ምሽት አሁን ሁሉም።
11102,0,Assertion,ልጆች ይቻላል ብዙ ጊዜ።
6205,4,Refusal,እሷ ድርጊት አይፈልግም።
514,4,Refusal,ባለቤቴ ወረቀት አይፈልግም።
1158,8,Warning,ተጠንቀቅ! መንገድ መጥፎ ነው።
669,1,Complaint,ለምን ድርጊት እንዲህ ደህንነቱ የተጠበቀ ነው?
2162,0,Assertion,ጓደኞች ኮንትራት ርካሽ ናት።
8685,2,Phatic,ሰላም ጎረቤቴ፣ ምን ሰራህ ዛሬ?
6665,0,Assertion,በሰዓት እናንተ መቀሌ ነበር።
3755,5,Request,ሁሉም መረጃ ማግኘት ይችላል?
257,1,Complaint,ለምን ምግብ ቤት እንዲህ ትንሽ ነው?
2222,2,Phatic,ደስ ብሎኛል ስላየሁሽ ባለቤቴ።
10846,1,Complaint,እህቶች ከ ዕረፍት ጋር ችግር አለው።
10575,3,Promise,ከዚህ በፊት አዛውንቶች ስልጠና ታመጣለች።
2968,6,Sarcasm/Irony,በጣም ንጹህ ነው፣ ምንም አደጋ የለም... (በሳቅ)።
1086,7,Suggestion,እነሱ ፈቃድ ቢጠቀም ይሻላል።
7918,5,Request,አባቶች መጽሐፍ ማግኘት ይችላል?
10693,7,Suggestion,ይህን ዜና መሞከር ጥሩ ነው።
322,0,Assertion,ባለቤቴ ነው ብዙ ጊዜ።
5441,5,Request,እርዳኝ ሆቴል ለማግኘት።
5267,3,Promise,ወንድሞች በወር ይመጣል ብሎ ቃል ገብቷል።
4020,3,Promise,ባለሙያው ዛሬ ትመጣለች ብሎ ቃል ገብቷል።
3030,7,Suggestion,ምናልባት ነገ ብንገናኝ?
1522,6,Sarcasm/Irony,እንዴት እድል በጣም ቀላል ነው! (በተቃራኒ)።
9923,2,Phatic,ደህና ሁኚ ዳኛው ከ ከተማ።
5453,6,Sarcasm/Irony,አዎ፣ ድርጊት በጣም አስፈላጊ ነው ለሁሉም... (በተቃራኒ)።
5604,1,Complaint,አንተ ስለ ሰላም ቅሬታ አለው።
8473,2,Phatic,እንኳን ለበዓል አደረሰሽ በጊዜው።
1373,4,Refusal,እህቶች ህንፃ አይፈልግም።
7104,0,Assertion,ይህ ውሃ ውድ መሆኑን እረጋገጣለሁ።
2523,2,Phatic,በደህና ሂጂ ወጣቱ።
179,8,Warning,እንግዶች አገልግሎት አትንካ።
10369,3,Promise,ጓደኛዬ በማታ ይመጣል ብሎ ቃል ገብቷል።
8046,5,Request,እናቴ ንግግር ማግኘት ይችላል?
10095,8,Warning,አዛውንቶች ንግግር አትንካ።
1734,6,Sarcasm/Irony,አዎ፣ ይህ ያሳዝናል ሀሳብ ነው... (በሳቅ)።
1490,0,Assertion,ነጋዴዎች ይመስላል ብዙ ጊዜ።
10159,6,Sarcasm/Irony,እንዴት ያለ ፍጹም ድል ነው! (በሳቅ)።
4997,4,Refusal,አዛውንቶች እድል አይፈልግም።
2277,4,Refusal,ድልድይ አልፈልግም፣ አመሰግናለሁ።
7499,8,Warning,መምህራን ዜና አትንካ።
4339,2,Phatic,ጤናማ ቀን ይሁንልህ በሳምንት።
1555,3,Promise,ሴቶች በፍጥነት ይመጣል ብሎ ቃል ገብቷል።
284,7,Suggestion,ወንድሜ ህንፃ ቢያደርግ ይሻላል።
11093,4,Refusal,መምህራን ሰላም አይፈልግም።
11009,0,Assertion,እውነቱን ለመናገር ገንዘብ ዘገይተኛ ነው።
636,5,Request,እንግዶች ጨዋታ ማግኘት ይችላል?
7453,3,Promise,ሰራተኛው በሳምንት ትመጣለች ብሎ ቃል ገብቷል።
7990,0,Assertion,እንግዶች ቤት ትንሽ ይታወቃል።
7051,0,Assertion,አንድ ሰው ይቻላል ብዙ ጊዜ።
8089,1,Complaint,ዛሬ እኛ ጉዞ አላገኘም።
9307,5,Request,አዛውንቶች መድሃኒት ማግኘት ይችላል?
4898,0,Assertion,አዛውንቶች ጉዞ አላት።
6455,1,Complaint,ከዚህ በፊት አንድ ሰው እድል አላገኘም።
3107,7,Suggestion,ሰራተኛው ጤና ቢያደርግ ይሻላል።
3687,7,Suggestion,እሷ አገልግሎት ቢጠቀም ይሻላል።
4746,8,Warning,ይህ ትንሽ ነው፣ ተጠንቀቅ።
430,2,Phatic,እግዚአብሔር ይባርክህ ባለቤቴ።
10688,4,Refusal,አይ፣ እርዳታ አልችልም።
9253,1,Complaint,ለምን መጽሐፍ እንዲህ ደህንነቱ የተጠበቀ ነው?
7200,8,Warning,ተጠንቀቅ! ጉብኝት አስፈላጊ ነው።
8406,5,Request,ጎረቤቴ እቅድ ማግኘት ይችላል?
5276,4,Refusal,አዛውንቶች ደብዳቤ አይፈልግም።
9809,6,Sarcasm/Irony,እንዴት ያለ ፍጹም እርዳታ ነው! (በሳቅ)።
4717,3,Promise,በጊዜው ወጣቱ ቁልፍ ያመጣል።
7027,0,Assertion,እኔ ቤት እንደሚያስፈልግ አውቃለሁ።
2668,7,Suggestion,አንተ ጉብኝት ቢያደርግ ይሻላል።
1104,8,Warning,ተጠንቀቅ! ወረቀት ዘገይተኛ ነው።
8673,7,Suggestion,እኔ ስብሰባ እንድታደርግ እመክራለሁ።
6967,0,Assertion,እውነቱን ለመናገር ብር አስደሳች ነው።
8230,4,Refusal,ነጋዴዎች ገንዘብ አይፈልግም።
10620,3,Promise,አሁን እናቶች ችግር ያመጣል።
8995,5,Request,እባክህ ምግብ ቤት አስረዳኝ።
4097,1,Complaint,በቅርቡ እነሱ ቦታ አላገኘም።
3999,8,Warning,አደጋ አለ! ምክር ተጠንቀቅ።
8262,3,Promise,ይህን ችግር እጠብቃለሁ።
2384,1,Complaint,ለምን ምክር እንዲህ ትንሽ ነው?
11006,3,Promise,በማታ ደንበኞች ፊልም ታመጣለች።
5160,3,Promise,በቀን ሰራተኞች ዜና ታመጣለች።
10947,2,Phatic,ቤተሰብህ ደህና ናቸው ወንዶች?
4989,4,Refusal,ሹፌሩ ጊዜ አይፈልግም።
6783,6,Sarcasm/Irony,ሁሉም ሰው ሰላም ይወዳል... (በአስቂኝ)።
1278,4,Refusal,እነሱ ሙዚቃ አይፈልግም።
8514,4,Refusal,አንድ ሰው እርዳታ አይፈልግም።
4342,8,Warning,ተጠንቀቅ፣ ዳኛው ይመጣል።
11321,6,Sarcasm/Irony,አዎ፣ ጉዞ በጣም አስፈላጊ ነው ለሁሉም... (በተቃራኒ)።
8160,1,Complaint,በቀን አለቃዬ ሙያ አላገኘም።
1188,2,Phatic,በሰላም ኑሪ ተማሪዎች።
890,1,Complaint,ለምን ተማሪው ቦታ አልሰጠኝም?
4210,1,Complaint,ይህ ሆቴል በጣም ንጹህ ነው፣ አልወድም።
662,6,Sarcasm/Irony,አዎ፣ ወዳጄ በጣም ብልህ ነው... (በተቃራኒ)።
854,7,Suggestion,አንዳንድ ሰዎች ድርጊት ቢያደርግ ይሻላል።
2462,4,Refusal,እህቴ ድል አይፈልግም።
9707,2,Phatic,እንኳን ለበዓል አደረሰሽ እናንተ።
9531,1,Complaint,ነገ ሰራተኛው ቦታ አላገኘም።
5077,7,Suggestion,እንደእኔ አስተያየት መድሃኒት መቀየር ይሻላል።
660,0,Assertion,ይህ እድል አስፈላጊ መሆኑን እረጋገጣለሁ።
5983,6,Sarcasm/Irony,ይህ በጣም ንጹህ ሀሳብ ነው... (በሳቅ)።
10512,1,Complaint,በማለዳ እሱ ፈቃድ አላገኘም።
11130,2,Phatic,ደህና እንደምታድር ተስፋ አደርጋለሁ እኔ።
4293,5,Request,ተማሪዎች ብር ማግኘት ይችላል?
2690,3,Promise,በማለዳ አንዳንድ ሰዎች ፈቃድ ታመጣለች።
11161,5,Request,አስተናጋጁ ወረቀት ማግኘት ይችላል?
3535,4,Refusal,ይቅርታ፣ ክፍያ አልሰጥም።
807,2,Phatic,ጤናማ ሳምንት ይሁንልሽ ወጣቱ።
3856,5,Request,ተማሪው ኮንትራት ማግኘት ይችላል?
8791,8,Warning,ወንዶች ጨዋታ አትንካ።
1599,0,Assertion,ወንዶች ይታያል ብዙ ጊዜ።
2469,7,Suggestion,እናቶች ህንፃ ቢያደርግ ይሻላል።
5286,4,Refusal,እህቶች ሙዚቃ አይፈልግም።
3257,8,Warning,ተጠንቀቅ! ሙያ ቀላል ነው።
4578,5,Request,እባክዎ ሙያ ያድርጉልኝ።
8956,5,Request,አዛውንቱ ቤት ማግኘት ይችላል?
1206,1,Complaint,ሁልጊዜ ህንፃ ይጎድላል።
2753,0,Assertion,አንድ ሰው ሙያ አላት።
6493,0,Assertion,እውነቱን ለመናገር ዕረፍት ንጹህ ነው።
7784,4,Refusal,ወንድሞች ስልክ አይፈልግም።
8110,7,Suggestion,ይህን ቦታ መሞከር ጥሩ ነው።
3353,2,Phatic,በጣም ደስ ብሎኛል ስለተገናኘን በሳምንት።
6403,6,Sarcasm/Irony,እንዴት አሮጌ ሙዚቃ ነው! (በቀልድ)።
7075,5,Request,ባለቤቴ ምግብ ቤት ማግኘት ይችላል?
9873,0,Assertion,ክፍያ ቀላል ነው።
10608,2,Phatic,በጣም ደስ ብሎኛል ስላየሁሽ በጊዜው።
11422,1,Complaint,ከዚህ በኋላ ወንዶች መረጃ አላገኘም።
11055,7,Suggestion,ምናልባት አዲስ ምግብ ቤት መግዛት?
2525,8,Warning,አትርሳ ውሳኔ።
10026,2,Phatic,እንዴት ነው ስራህ በሳምንት?
6262,2,Phatic,ሰላም መምህራን፣ ምን አለ በሰዓት?
7464,8,Warning,ወንዶች ክፍያ አትንካ።
8318,0,Assertion,ዕረፍት በጣም ንጹህ ነው።
8828,7,Suggestion,ሰራተኞች ድልድይ ቢጠቀም ይሻላል።
10105,7,Suggestion,እንዴት ቢሆን ውሳኔ ብናደርግ?
7271,0,Assertion,ሐኪሞች ሀሳብ ከባድ ይመስላል።
595,2,Phatic,እንዴት ነው ጤንነትህ በማለዳ?
666,5,Request,ወጣቶች ኮንትራት ማግኘት ይችላል?
3953,5,Request,ፖሊሱ እረፍት ማግኘት ይችላል?
10887,1,Complaint,ይህ መረጃ በጣም ያሳዝናል ነው፣ አልወድም።
2042,0,Assertion,አባቶች አስፈላጊ ነው ብዙ ጊዜ።
6642,6,Sarcasm/Irony,ዳኛው ሁልጊዜ ትክክለኛ ውሳኔ ያደርጋል... (በቀልድ)።
4890,1,Complaint,ለምን እሱ ቁልፍ አልሰጠኝም?
169,8,Warning,አደጋ አለ! ጉዞ ተጠንቀቅ።
8392,2,Phatic,ሰላም ልጄ፣ ምን ሰራሽ በወር?
3863,5,Request,ጓደኞች ጤና ማግኘት ይችላል?
3938,0,Assertion,አለቆች ሀሳብ አለው።
6331,1,Complaint,ሰራተኞች ከ ፈቃድ ጋር ችግር አለው።
1178,2,Phatic,በሰላም እንገናኝ ትናንት።
1580,1,Complaint,ሁልጊዜ ንግግር ይጎድላል።
4748,1,Complaint,በጊዜው ልጆች ቤት አላገኘም።
10737,4,Refusal,ይቅርታ፣ ቅጣት አልሰጥም።
10867,7,Suggestion,እንዴት ቢሆን እቅድ ብናደርግ?
3605,1,Complaint,አንተ ስለ መጽሐፍ ቅሬታ አለው።
6692,5,Request,አስተማሪው ሰላም ማግኘት ይችላል?
1353,0,Assertion,ልጄ ጤና ፈጣን ይቆጠራል።
3922,3,Promise,በቅርቡ ዳኛው ስልጠና ታመጣለች።
3082,4,Refusal,ይህን ጉዞ ማድረግ አልችልም።
8303,5,Request,እባክዎ ድርጊት ይላኩልኝ።
8048,1,Complaint,ይህ መድሃኒት በጣም ትልቅ ነው፣ አልወድም።
8043,7,Suggestion,አባቴ ኮምፒውተር ቢጠቀም ይሻላል።
604,6,Sarcasm/Irony,አዎ፣ ይህ ዕድል በጣም ጠቃሚ ነው... (በሳቅ)።
8103,8,Warning,ተጠንቀቅ! ድርጊት አስፈላጊ ነው።
327,2,Phatic,መልካም ሳምንት ከ ሐረር ወንዶች።
2810,3,Promise,ትናንት እናንተ ህንፃ ያመጣል።
224,7,Suggestion,ጓደኞች ፕሮጀክት ቢጠቀም ይሻላል።
8755,8,Warning,ተጠንቀቅ፣ ወዳጄ ይመጣል።
642,1,Complaint,እኛ ስለ ሀሳብ ቅሬታ አለው።
8413,8,Warning,አባቶች ቁልፍ አትንካ።
2034,1,Complaint,አንቺ ከ ደስታ ጋር ችግር አለው።
6813,0,Assertion,እውነቱን ለመናገር ድርጊት መጥፎ ነው።
11076,7,Suggestion,ማንም ወረቀት ቢጠቀም ይሻላል።
7572,2,Phatic,እግዚአብሔር ይባርክህ ከ ፓርክ።
6586,2,Phatic,በደህና ሂድ ሐኪሞች።
7377,3,Promise,እኔ ጊዜ እሰጥሻለሁ።
11211,2,Phatic,እንኳን ለልደትህ አደረሰ እንግዶች።
2296,6,Sarcasm/Irony,አዎ፣ ውሃ በጣም ጥሩ ጥራት አለው... (በአስቂኝ)።
5121,0,Assertion,ማንም አስፈላጊ ነው ብዙ ጊዜ።
10870,8,Warning,አባቶች ፕሮጀክት አትንካ።
8188,1,Complaint,ለምን እህቶች መጽሐፍ አልሰጠኝም?
9975,0,Assertion,ይህ መፍትሄ ጥሩ መሆኑን እረጋገጣለሁ።
4888,3,Promise,አትጨነቅ፣ ክፍያ እከፍላለሁ።
8880,7,Suggestion,አስተማሪው ፊልም ቢጠቀም ይሻላል።
9687,1,Complaint,ለምን ነጋዴዎች አገልግሎት አልሰጠኝም?
3110,4,Refusal,አለቃዬ ደስታ አይፈልግም።
10734,1,Complaint,ወዳጄ ድልድይ ስለ አሮጌ መሆኑ ያማርራል።
8422,2,Phatic,ደስ ብሎኛል ስለሰማሁሽ አስተማሪው።
6042,6,Sarcasm/Irony,አዎ፣ ይህ ቤት በጣም ጠቃሚ ነው... (በሳቅ)።
6285,1,Complaint,ሁልጊዜ ክፍያ ይጎድላል።
3091,5,Request,እባክህ መፍትሄ አስረዳኝ።
11172,0,Assertion,ትምህርት አዲስ ነው።
