id,text,label,label_id,template_id,split
26,ሪፖርቱ ዝግጁ ነው።,Assertion,1,Assertion_08,train
27,ምግቡ ነገ አልደረሰኝም።,Complaint,6,Complaint_08,train
28,አይ፣ አሁን ስጦታው ማድረግ አልችልም።,Refusal,2,Refusal_01,train
29,እንደሚመስለኝ ትዕዛዙን ዛሬ ማጠናቀቅ ይሻላል።,Suggestion,3,Suggestion_04,train
30,አዎ፣ ለጓደኛችን ደውያለሁ... በጣም ቀላል!,Sarcasm/Irony,5,Sarcasm/Irony_14,test
31,ይቅርታ፣ ውሳኔውን አሁን ማሳወቅ አልችልም።,Refusal,2,Refusal_14,train
32,ትዕዛዙን በዚህ ሳምንት አጠናቅቃለሁ።,Warning,4,Warning_02,test
33,አልችልም፣ ምግቡን በሚቀጥለው ቀን ማዘጋጀት አልቻልኩም።,Refusal,2,Refusal_12,train
34,ማስጠንቀቂያ፣ መረጃውን ካላጋራህ ችግር ይፈጥራል።,Warning,4,Warning_07,train
35,ምክሬ ሸቀጡን አሁን ማረጋገጥ ነው።,Suggestion,3,Suggestion_03,train
36,መጽሐፉ በሚቀጥለው ወር አልደረሰኝም።,Complaint,6,Complaint_09,test
37,አልችልም፣ ምግቡን በሚቀጥለው ወር ማዘጋጀት አልቻልኩም።,Warning,4,Warning_02,train
38,ሰላም፣ እንዴት ነህ?,Phatic,7,Phatic_01,train
39,እንደሚመስለኝ ስጦታውን በፍጥነት ማምጣት ይሻላል።,Warning,4,Warning_02,train
40,ተጠንቀቅ፣ ውሉን በቅርቡ ካልፈረምክ ህጋዊ ችግር ይፈጥራል።,Warning,4,Warning_04,train
41,ቦታው ነፃ ነው።,Assertion,1,Assertion_10,train
42,ማስጠንቀቂያ፣ ክፍያውን በዚህ ወር ካላደረግክ አገልግሎት ይቋረጣል።,Warning,4,Warning_03,test
43,ማስጠንቀቂያ፣ አገልግሎቱን በቅርቡ ካላረጋገጥክ ችግር ይፈጥራል።,Warning,4,Warning_13,train
44,እርግጥ ነው፣ ሪፖርቱ ዝግጁ ነው... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_05,test
45,የፓኬጁ ችግር ከሰኞ ጀምሮ አልተፈታም።,Complaint,6,Complaint_02,train
46,መጽሐፉን በዚህ ወር አመልሳለሁ።,Promise,8,Promise_09,train
47,ክፍያው ተከፍሏል።,Assertion,1,Assertion_05,train
48,ማስጠንቀቂያ፣ ክፍያውን በዚህ ወር ካላደረግክ አገልግሎት ይቋረጣል።,Warning,4,Warning_03,train
49,ሰላም ነው?,Phatic,7,Phatic_04,train
50,እንደኔ ሀሳብ ውሉን በዚህ ሳምንት መላክ ይሻላል።,Warning,4,Warning_02,val
51,እባክዎ ምግቡን ነገ ማታ ይላኩልኝ።,Request,0,Request_00,train
52,ቦታው ነፃ ነው።,Warning,4,Warning_02,test
53,ይቅርታ፣ ለአስተዳዳሪው መጥራት አልችልም።,Refusal,2,Refusal_11,val
54,ክፍያው በዚህ ሳምንት አልተከፈለም።,Complaint,6,Complaint_03,train
55,እባክዎ ትዕዛዙን አሁን ይላኩልኝ።,Request,0,Request_04,test
56,ሰነዱን በሚቀጥለው ሳምንት አረጋግጣለሁ።,Promise,8,Promise_13,train
57,እንዴት ነህ ጓደኛ?,Phatic,7,Phatic_12,train
58,መረጃውን በሚቀጥለው ወር እላካለሁ።,Promise,8,Promise_06,val
59,ሀሳቤ ውሉን በፍጥነት መፈረም ነው።,Suggestion,3,Suggestion_05,train
60,ሪፖርቱን በፍጥነት አቀርባለሁ።,Promise,8,Promise_05,train
61,ጤና ይስጥልኝ፣ ስራ እንዴት ነው?,Phatic,7,Phatic_02,val
62,እባክዎ ስጦታውን ዛሬ ማታ ያድርሱልኝ።,Request,0,Request_06,train
63,አይ፣ መጽሐፉን ማበደር አልችልም።,Refusal,2,Refusal_13,test
64,መጽሐፉን በሚቀጥለው ሳምንት አመልሳለሁ።,Promise,8,Promise_09,train
65,ለአለቃዬ በፍጥነት አልደወሉልኝም።,Complaint,6,Complaint_14,train
66,ሰላም፣ ስራ በትምህርት ቤት እንዴት ነው?,Phatic,7,Phatic_08,train
67,እርግጥ ነው፣ ክፍያው ተከፍሏል... በጣም ቀላል!,Sarcasm/Irony,5,Sarcasm/Irony_03,test
68,እንደምን አደርክ?,Phatic,7,Phatic_03,train
69,መጽሐፉ ዛሬ ማታ ደረሰ።,Assertion,1,Assertion_11,train
70,የኮንትራቱ ጥራት ዝቅተኛ ነው።,Complaint,6,Complaint_11,test
71,ማስጠንቀቂያ፣ ምግቡን በሚቀጥለው ቀን ካላዘጋጀህ ችግር ይፈጥራል።,Warning,4,Warning_09,train
72,ተጠንቀቅ፣ ውሉን በሚቀጥለው ቀን ካልፈረምክ ህጋዊ ችግር ይፈጥራል።,Warning,4,Warning_04,train
73,ስጦታው በፍጥነት ደርሷል።,Assertion,1,Assertion_01,test
74,አዎ፣ ቦታው ነፃ ነው... በጣም ምቹ!,Sarcasm/Irony,5,Sarcasm/Irony_08,train
75,ማስጠንቀቂያ፣ ፓኬጁን በዚህ ወር ካላረጋገጥክ ችግር ይፈጥራል።,Warning,4,Warning_13,train
76,ስራው ዛሬ ማታ ተጀምሯል።,Assertion,1,Assertion_13,train
77,እባክዎ ክፍያውን ዛሬ ጠዋት ያረጋግጡልኝ።,Request,0,Request_08,train
78,ማስጠንቀቂያ፣ ክፍያውን በሚቀጥለው ቀን ካላደረግክ አገልግሎት ይቋረጣል።,Warning,4,Warning_03,train
79,እርግጥ ነው፣ ሪፖርቱ ዝግጁ ነው... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_05,train
80,ይሻላል ክፍያውን በሚቀጥለው ወር ማድረግ።,Suggestion,3,Suggestion_08,test
81,እባክዎ ቦታውን ነገ ጠዋት ያስይዙልኝ።,Request,0,Request_12,train
82,የጓደኛዋ ውሳኔ ትክክል ነው።,Assertion,1,Assertion_12,train
83,ማስጠንቀቂያ፣ ሪፖርቱን ዛሬ ጠዋት ካላቀረብክ ቅጣት አለ።,Warning,4,Warning_05,val
84,ትዕዛዙ ነገ ጠዋት አልደረሰኝም።,Complaint,6,Complaint_01,train
85,ይቅርታ፣ ለወንድሜ መላክ አልችልም።,Refusal,2,Refusal_05,val
86,የመረጃው ችግር ከጠዋቱ ጀምሮ ከሰራተኛው ጋር እፈታለሁ።,Assertion,1,Assertion_00,train
87,እንደሚመስለኝ ስጦታውን በዚህ ሳምንት ማምጣት ይሻላል።,Suggestion,3,Suggestion_10,train
88,እባክዎ መጽሐፉን በዚህ ሳምንት ይላኩልኝ።,Request,0,Request_14,train
89,እንደምን አደርክ?,Phatic,7,Phatic_03,train
90,ይሻላል ውሳኔውን በዚህ ወር ማሳወቅ።,Suggestion,3,Suggestion_14,train
91,ይቅርታ፣ ውሳኔውን በቅርቡ ማሳወቅ አልችልም።,Refusal,2,Refusal_14,train
92,እንደኔ ሀሳብ ሪፖርቱን በሚቀጥለው ወር ማቅረብ ይሻላል።,Suggestion,3,Suggestion_07,train
93,ይቅርታ፣ መረጃውን ማጋራት አልችልም።,Refusal,2,Refusal_08,train
94,ለቤተሰቤ በፍጥነት እደውላለሁ።,Promise,8,Promise_10,test
95,ይሻላል ውሳኔውን ነገ ጠዋት ማሳወቅ።,Suggestion,3,Suggestion_14,train
96,ክፍያውን ነገ ጠዋት አደርጋለሁ።,Promise,8,Promise_03,val
97,የትዕዛዙ ችግር ከአርብ ጀምሮ ከአለቃዬ ጋር እፈታለሁ።,Promise,8,Promise_00,train
98,ማስጠንቀቂያ፣ ትዕዛዙን አሁን ካላጠናቀቅክ ቅጣት አለ።,Warning,4,Warning_01,train
99,ይቅርታ፣ መረጃውን ማጋራት አልችልም።,Refusal,2,Refusal_08,train
100,ምግቡን በዚህ ወር አዘጋጃለሁ።,Promise,8,Promise_08,val
101,ስራውን ዛሬ ማታ አረጋግጣለሁ።,Promise,8,Promise_13,test
102,ይቅርታ፣ ለጓደኛችን መጥራት አልችልም።,Refusal,2,Refusal_11,train
103,ምናልባት ስራውን በፍጥነት ማድረግ ይሻላል።,Suggestion,3,Suggestion_00,train
104,ትዕዛዙ በሚቀጥለው ወር ተጠናቀቀ።,Assertion,1,Assertion_02,train
105,የአገልግሎቱ ጥራት ዝቅተኛ ነው።,Complaint,6,Complaint_11,train
106,ጤና ይስጥልኝ፣ አስተዳዳሪው እንዴት ነው?,Phatic,7,Phatic_10,train
107,ምግቡ በዚህ ወር አልደረሰኝም።,Complaint,6,Complaint_08,test
108,እርግጥ ነው፣ ክፍያው ተከፍሏል... በጣም ቀላል!,Sarcasm/Irony,5,Sarcasm/Irony_03,train
109,አዎ፣ ስራው ተጠናቀቀ... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_12,val
110,ማስጠንቀቂያ፣ ምግቡን በዚህ ወር ካላዘጋጀህ ችግር ይፈጥራል።,Warning,4,Warning_09,train
111,ማስጠንቀቂያ፣ መረጃውን ካላጋራህ ችግር ይፈጥራል።,Warning,4,Warning_07,test
112,ተጠንቀቅ፣ ለፖሊሱ ካልደወልክ ችግር ይፈጥራል።,Warning,4,Warning_12,train
113,ይቅርታ፣ መረጃውን ማጋራት አልችልም።,Refusal,2,Refusal_08,train
114,አዎ፣ ለባልደረባዬ ላክኩት... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_02,train
115,እንደምን አደርክ?,Phatic,7,Phatic_03,train
116,ሪፖርቱን ነገ አቀርባለሁ።,Promise,8,Promise_05,val
117,መረጃው ትክክል ነው።,Assertion,1,Assertion_04,train
118,እባክሽ ስራውን ነገ ማታ አምጪልኝ።,Request,0,Request_01,train
119,እርግጥ ነው፣ ሪፖርቱ ዝግጁ ነው... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_05,train
120,ክፍያውን ነገ ጠዋት አደርጋለሁ።,Promise,8,Promise_03,train
121,ጤና ይስጥልኝ፣ ቤተሰብ እንዴት ናቸው?,Phatic,7,Phatic_06,train
122,እንደኔ ሀሳብ መጽሐፉን አሁን ማንበብ ይሻላል።,Suggestion,3,Suggestion_13,val
123,ይቅርታ፣ ለእህቴ መላክ አልችልም።,Refusal,2,Refusal_05,test
124,ሰላም፣ ስራ በባንክ እንዴት ነው?,Phatic,7,Phatic_08,train
125,ይሻላል ክፍያውን በዚህ አመት ማድረግ።,Suggestion,3,Suggestion_08,train
126,አዎ፣ ስጦታው ደርሷል... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_06,train
127,እባክሽ ሰነዱን ዛሬ አምጪልኝ።,Request,0,Request_01,train
128,እባክሽ ምግቡን ዛሬ ማታ አምጪልኝ።,Request,0,Request_05,train
129,አዎ፣ ለሰራተኛው ላክኩት... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_02,train
130,ምክሬ ውሉን አሁን ማረጋገጥ ነው።,Suggestion,3,Suggestion_03,train
131,ትዕዛዙ በሚቀጥለው ቀን አልደረሰኝም።,Complaint,6,Complaint_01,train
132,ምግቡን በዚህ አመት አዘጋጃለሁ።,Promise,8,Promise_08,train
133,እንዴት ነሽ?,Phatic,7,Phatic_05,train
134,ተጠንቀቅ፣ ቦታውን በዚህ ሳምንት ካላስያዝክ ይያዛል።,Warning,4,Warning_08,train
135,አልቻልኩም፣ ስጦታውን ዛሬ ማታ ማምጣት አልቻልኩም።,Refusal,2,Refusal_06,train
136,እባክዎ ስጦታውን በሚቀጥለው ቀን ያድርሱልኝ።,Request,0,Request_06,train
137,አይደለም፣ ሪፖርቱን በሚቀጥለው ሳምንት ማጠናቀቅ አልችልም።,Refusal,2,Refusal_10,train
138,ውሉ በፍጥነት ተፈርሟል።,Assertion,1,Assertion_07,train
139,ይቅርታ፣ ትዕዛዙን በዚህ ሳምንት መላክ አልችልም።,Refusal,2,Refusal_02,train
140,ምክሬ ቦታውን አሁን ማስያዝ ነው።,Suggestion,3,Suggestion_09,train
141,እባክዎ ሪፖርቱን ዛሬ ማታ ይላኩልኝ።,Request,0,Request_10,train
142,መጽሐፉን በሚቀጥለው ቀን አመልሳለሁ።,Promise,8,Promise_09,train
143,ምግቡ አሁን አልደረሰኝም።,Complaint,6,Complaint_08,val
144,አይ፣ አሁን ስጦታው ማድረግ አልችልም።,Refusal,2,Refusal_01,test
145,እንደሚመስለኝ ትዕዛዙን በቅርቡ ማጠናቀቅ ይሻላል።,Suggestion,3,Suggestion_04,val
146,ማስጠንቀቂያ፣ ፋይሉን ዛሬ ካላረጋገጥክ ችግር ይፈጥራል።,Warning,4,Warning_13,train
147,የቦታው ችግር ከረቡዕ ጀምሮ ከእናቴ ጋር እፈታለሁ።,Assertion,1,Assertion_00,val
148,ይቅርታ፣ ለፖሊሱ መጥራት አልችልም።,Refusal,2,Refusal_11,train
149,የስራው ጥራት ከፍተኛ ነው።,Assertion,1,Assertion_14,train
150,አዎ፣ ፓኬጁን በዚህ ሳምንት አደረግኩት... ትክክል ነው!,Sarcasm/Irony,5,Sarcasm/Irony_00,val
151,ማስጠንቀቂያ፣ መረጃውን ካላጋራህ ችግር ይፈጥራል።,Warning,4,Warning_07,train
152,ነጋዴው፣ ስራ በገበያ እንዴት ነው?,Phatic,7,Phatic_00,train
153,የትዕዛዙ ችግር ከትናንት ጀምሮ አልተፈታም።,Complaint,6,Complaint_02,test
154,ስጦታውን ዛሬ አደርሳለሁ።,Promise,8,Promise_01,test
155,ጤና ይስጥልኝ፣ ቤተሰብ እንዴት ናቸው?,Phatic,7,Phatic_06,val
156,ቦታውን ዛሬ ጠዋት አስይዛለሁ።,Promise,8,Promise_07,test
157,ጤና ይስጥልኝ፣ ቤተሰብ እንዴት ናቸው?,Phatic,7,Phatic_06,train
158,መረጃው ዛሬ ጠዋት አልደረሰኝም።,Complaint,6,Complaint_06,test
159,ትዕዛዙ አሁን አልደረሰኝም።,Complaint,6,Complaint_01,train
160,የመጽሐፉ ጥራት ከፍተኛ ነው።,Assertion,1,Assertion_14,train
161,ማስጠንቀቂያ፣ ሪፖርቱን አሁን ካላቀረብክ ቅጣት አለ።,Warning,4,Warning_05,train
162,ጤና ይስጥልኝ፣ ቤተሰብ እንዴት ናቸው?,Phatic,7,Phatic_06,train
163,እባክዎ መልእክቱን ለደንበኛው ነገ ጠዋት ይላኩልኝ።,Request,0,Request_11,train
164,ማስጠንቀቂያ፣ ክፍያውን በዚህ ሳምንት ካላደረግክ አገልግሎት ይቋረጣል።,Warning,4,Warning_03,val
165,መጽሐፉ ነገ ጠዋት ደረሰ።,Assertion,1,Assertion_11,test
166,ውሳኔውን በቅርቡ አሳውቃለሁ።,Promise,8,Promise_11,train
167,ጤና ይስጥልኝ፣ አጋሬ እንዴት ነው?,Phatic,7,Phatic_10,val
168,መጽሐፉ ዛሬ ማታ ደረሰ።,Assertion,1,Assertion_11,train
169,አይ፣ ክፍያውን አሁን ማድረግ አልችልም።,Refusal,2,Refusal_07,val
170,ጤና ይስጥልኝ፣ ዛሬ እንዴት ነው?,Phatic,7,Phatic_13,train
171,ምግቡን በቅርቡ አዘጋጃለሁ።,Promise,8,Promise_08,train
172,ማስጠንቀቂያ፣ ክፍያውን ነገ ማታ ካላደረግክ አገልግሎት ይቋረጣል።,Warning,4,Warning_03,train
173,ምክሬ ቦታውን አሁን ማስያዝ ነው።,Suggestion,3,Suggestion_09,train
174,ሰላም ነው ወንድሜ?,Phatic,7,Phatic_11,train
175,ሰላም ነው ወንድሜ?,Phatic,7,Phatic_11,val
176,ውሉን በዚህ ወር እፈርማለሁ።,Promise,8,Promise_04,val
177,እባክዎ ትዕዛዙን ለወንድሜ በዚህ አመት ይላኩልኝ።,Request,0,Request_03,test
178,እባክዎ ክፍያውን በዚህ ወር ያረጋግጡልኝ።,Request,0,Request_08,train
179,አልችልም፣ መጽሐፉን በፍጥነት ማድረስ አልቻልኩም።,Refusal,2,Refusal_00,val
180,አልፈልግም፣ ፓኬጁን አልቀበልም።,Refusal,2,Refusal_03,train
181,ሀሳቤ ውሉን አሁን መፈረም ነው።,Suggestion,3,Suggestion_05,train
182,መረጃው ትክክል ነው።,Assertion,1,Assertion_04,train
183,አዎ፣ ስጦታው ደርሷል... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_06,train
184,እባክዎ ትዕዛዙን ለአለቃዬ ነገ ጠዋት ይላኩልኝ።,Request,0,Request_03,val
185,ይቅርታ፣ ለወንድሜ መጥራት አልችልም።,Refusal,2,Refusal_11,test
186,ስራው በዚህ ሳምንት ተጀምሯል።,Assertion,1,Assertion_13,train
187,ተጠንቀቅ፣ ለፖሊሱ ካልደወልክ ችግር ይፈጥራል።,Warning,4,Warning_12,train
188,እባክሽ ደብዳቤውን ነገ ማታ አምጪልኝ።,Request,0,Request_09,train
189,ይቅርታ፣ መረጃውን ማጋራት አልችልም።,Refusal,2,Refusal_08,train
190,ተጠንቀቅ፣ መጽሐፉን በፍጥነት ካላመለስክ ቅጣት አለ።,Warning,4,Warning_10,val
191,ሪፖርቱን ዛሬ ጠዋት አቀርባለሁ።,Promise,8,Promise_05,train
192,አይ፣ መጽሐፉን ማበደር አልችልም።,Refusal,2,Refusal_13,train
193,እንደሚመስለኝ ስጦታውን ዛሬ ጠዋት ማምጣት ይሻላል።,Suggestion,3,Suggestion_10,val
194,እርግጥ ነው፣ ፋይሉ ጥሩ ነው... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_13,train
195,እባክዎ ሪፖርቱን በዚህ ወር ይላኩልኝ።,Request,0,Request_10,train
196,ውሉ በዚህ አመት ተፈርሟል።,Assertion,1,Assertion_07,train
197,እርግጥ ነው፣ ሪፖርቱ ዝግጁ ነው... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_05,train
198,ተጠንቀቅ፣ ለሰራተኛው ካልደወልክ ችግር ይፈጥራል።,Warning,4,Warning_12,train
199,ክፍያው ተከፍሏል።,Assertion,1,Assertion_05,val
200,ውሉን ነገ ማታ እፈርማለሁ።,Promise,8,Promise_04,test
201,ይቅርታ፣ መረጃውን ማጋራት አልችልም።,Refusal,2,Refusal_08,train
202,አዎ፣ ለእናቴ ደውያለሁ... በጣም ቀላል!,Sarcasm/Irony,5,Sarcasm/Irony_14,train
203,እባክዎ መጽሐፉን ለደንበኛው በዚህ አመት ይላኩልኝ።,Request,0,Request_11,val
204,አይ፣ አሁን ውሉ ማድረግ አልችልም።,Refusal,2,Refusal_01,train
205,አይ፣ መጽሐፉን ማበደር አልችልም።,Refusal,2,Refusal_13,train
206,ተጠንቀቅ፣ መረጃውን በዚህ ወር ካላደረግክ ችግር ይፈጥራል።,Warning,4,Warning_00,train
207,ይሻላል ውሳኔውን በዚህ ሳምንት ማሳወቅ።,Suggestion,3,Suggestion_14,train
208,ተጠንቀቅ፣ ስጦታውን በዚህ ሳምንት ካላመጣህ ችግር ይፈጥራል።,Warning,4,Warning_06,train
209,ቦታውን ነገ ማታ አስይዛለሁ።,Promise,8,Promise_07,test
210,ውሳኔው በዚህ ወር አልተሰጠም።,Complaint,6,Complaint_13,test
211,ስራውን በፍጥነት አጠናቅቃለሁ።,Promise,8,Promise_12,train
212,እባክዎ ሪፖርቱን በሚቀጥለው ወር ይላኩልኝ።,Request,0,Request_10,train
213,እርግጥ ነው፣ መረጃው ትክክል ነው... በጣም ግልጽ!,Sarcasm/Irony,5,Sarcasm/Irony_07,train
214,ለአጋሬ በሚቀጥለው ቀን እደውላለሁ።,Promise,8,Promise_10,test
215,ለፖሊሱ በፍጥነት እደውላለሁ።,Promise,8,Promise_10,train
216,አዎ፣ ሪፖርቱን አሁን አደረግኩት... ትክክል ነው!,Sarcasm/Irony,5,Sarcasm/Irony_00,test
217,እንዴት ነሽ?,Phatic,7,Phatic_05,train
218,እንደኔ ሀሳብ መጽሐፉን ዛሬ ጠዋት ማንበብ ይሻላል።,Suggestion,3,Suggestion_13,train
219,ምናልባት ለባልደረባዬ መደወል ይሻላል።,Suggestion,3,Suggestion_06,train
220,ማስጠንቀቂያ፣ ትዕዛዙን በዚህ ወር ካላጠናቀቅክ ቅጣት አለ።,Warning,4,Warning_01,val
221,ውሉ ነገ ማታ አልተፈረመም።,Complaint,6,Complaint_04,train
222,አልፈልግም፣ ሪፖርቱን አልቀበልም።,Refusal,2,Refusal_03,test
223,ለአባቴ በሚቀጥለው ሳምንት እደውላለሁ።,Promise,8,Promise_10,val
224,ይቅርታ፣ መረጃውን ማጋራት አልችልም።,Refusal,2,Refusal_08,train
225,እባክዎ መጽሐፉን በቅርቡ ይላኩልኝ።,Request,0,Request_14,train
226,እባክዎ ስጦታውን ነገ ያድርሱልኝ።,Request,0,Request_06,train
227,አዎ፣ ስራው ተጠናቀቀ... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_12,train
228,ስራው በዚህ ሳምንት ተጀምሯል።,Assertion,1,Assertion_13,train
229,ለእህቴ በሚቀጥለው ሳምንት አልደወሉልኝም።,Complaint,6,Complaint_14,test
230,የአለቃዬ ስራ በሬስቶራንት ጥሩ ነው።,Assertion,1,Assertion_06,train
231,እርግጥ ነው፣ ውሳኔው ትክክል ነው... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_11,train
232,ስራው ዛሬ ማታ ተጀምሯል።,Assertion,1,Assertion_13,train
233,እንዴት ነህ ጓደኛ?,Phatic,7,Phatic_12,train
234,አይደለም፣ ውሉን በፍጥነት ማረጋገጥ አልችልም።,Refusal,2,Refusal_04,train
235,የደብዳቤው ጥራት ዝቅተኛ ነው።,Complaint,6,Complaint_11,test
236,ማስጠንቀቂያ፣ ቲኬቱን ነገ ካላረጋገጥክ ችግር ይፈጥራል።,Warning,4,Warning_13,test
237,የአለቃዬ አገልግሎት መጥፎ ነው።,Complaint,6,Complaint_10,val
238,እባክዎ መረጃውን ዛሬ ይላኩልኝ።,Request,0,Request_07,train
239,ማስጠንቀቂያ፣ መረጃውን ካላጋራህ ችግር ይፈጥራል።,Warning,4,Warning_07,val
240,እርግጥ ነው፣ ሪፖርቱ ዝግጁ ነው... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_05,train
241,ስጦታውን በዚህ ሳምንት አደርሳለሁ።,Promise,8,Promise_01,train
242,ስጦታውን በቅርቡ አደርሳለሁ።,Promise,8,Promise_01,train
243,ይቅርታ፣ መረጃውን ማጋራት አልችልም።,Refusal,2,Refusal_08,train
244,ተጠንቀቅ፣ ውሉን በሚቀጥለው ሳምንት ካልፈረምክ ህጋዊ ችግር ይፈጥራል።,Warning,4,Warning_04,val
245,ስራው በዚህ ሳምንት ተጀምሯል።,Assertion,1,Assertion_13,train
246,እንደምን አደረሽ?,Phatic,7,Phatic_09,train
247,አልችልም፣ ኮንትራቱን ነገ ማድረስ አልቻልኩም።,Refusal,2,Refusal_00,test
248,ማስጠንቀቂያ፣ ውሳኔውን በፍጥነት ካላሳወቅክ ችግር ይፈጥራል።,Warning,4,Warning_11,train
249,ምግቡ በዚህ አመት አልደረሰኝም።,Complaint,6,Complaint_08,val
250,እርግጥ ነው፣ ውሳኔው ትክክል ነው... በጣም ጥሩ!,Sarcasm/Irony,5,Sarcasm/Irony_11,test
251,እንዴት ነሽ?,Phatic,7,Phatic_05,train
252,ምግቡ ነገ ጠዋት አልደረሰኝም።,Complaint,6,Complaint_08,train
253,ስራው ነገ ተጀምሯል።,Assertion,1,Assertion_13,train
254,ተጠንቀቅ፣ ቦታውን ዛሬ ካላስያዝክ ይያዛል።,Warning,4,Warning_08,train
255,ሰላም፣ እንዴት ነህ?,Phatic,7,Phatic_01,train
256,ይቅርታ፣ ትዕዛዙን በሚቀጥለው ቀን መላክ አልችልም።,Refusal,2,Refusal_02,val
257,እባክዎ ትዕዛዙን ለጓደኛችን ነገ ጠዋት ይላኩልኝ።,Request,0,Request_03,train
258,አዎ፣ ቦታውን በፍጥነት አደረግኩት... ትክክል ነው!,Sarcasm/Irony,5,Sarcasm/Irony_00,train
259,እባክዎ መጽሐፉን በፍጥነት ይላኩልኝ።,Request,0,Request_14,train
260,ተጠንቀቅ፣ ቦታውን ዛሬ ካላስያዝክ ይያዛል።,Warning,4,Warning_08,train
261,እርግጥ ነው፣ ሪፖርቱ ዝግጁ ነው... በጣም ፈጣን!,Sarcasm/Irony,5,Sarcasm/Irony_05,train
262,አይ፣ መጽሐፉን ማበደር አልችልም።,Refusal,2,Refusal_13,train
263,እንደኔ ሀሳብ መጽሐፉን በቅርቡ ማንበብ ይሻላል።,Suggestion,3,Suggestion_13,test
264,ምግቡ በፍጥነት አልደረሰኝም።,Complaint,6,Complaint_08,train
265,ተጠንቀቅ፣ ውሉን በሚቀጥለው ቀን ካልፈረምክ ህጋዊ ችግር ይፈጥራል።,Warning,4,Warning_04,train
266,ነጋዴው፣ ዛሬ እንዴት ነው?,Phatic,7,Phatic_07,train
267,ትዕዛዙን አሁን አጠናቅቃለሁ።,Promise,8,Promise_02,train
